name_vi,name_en,cas,formula,appendix,group_no,table_ref,threshold_kg,loai
n-Butyl vinyl ete,n-Butyl vinyl ether,111-34-2,C6H12O,II,1,,,
N-butylamin,n-Butylamine,109-73-9,C4H11N,II,1,,,
N-decan,N-Decane,124-18-5,C10H22,II,1,,,
N-etyl anilin,N-Ethylaniline,103-69-5,C8H11N,II,1,,,
N-Heptan,N-Heptane,142-82-5,C7H16,II,1,,,
N-heptanaldehit (Heptanal),N-Heptanaldehyde (Heptanal),111-71-7,C7H14O,II,1,,,
n-Hexan,n-Hexane,110-54-3,C6H14,II,1,,,
N-metyl anilin,N-Methyl aniline,100-61-8,C7H9N,II,1,,,
N-Metyl axetamit,N-methyl acetamide,79-16-3,C3H7NO,II,1,,,
N-metyl butyl amin,N-Methyl butyl amine,110-68-9,C5H13N,II,1,,,
N-Pentyl-isopentyl phthalat,N-pentyl-isopentyl phthalate,776297-69-9,C18H26O4,II,1,,,
N-Phenyl anilin,N-Phenyl aniline,122-39-4,C12H11N,II,1,,,
N-Propyl benzen,N-Propyl benzene,103-65-1,C9H12,II,1,,,
N-Propyl isoxyanat,N-Propyl isocyanate,110-78-1,C4H7NO,II,1,,,
"N-Sec-butyl-4-tert-butyl-2,6-dinitro anilin","N-sec-Butyl-4-tert-butyl-2,6-dinitroanilin",33629-47-9,C14H21O4N3,II,1,,,
Naphthalen,Naphthalene,91-20-3,C10H8,II,1,,,
Natri,Sodium,7440-23-5,,II,1,,,
Natri aluminat,Sodium aluminate,1302-42-7,NaAlO2,II,1,,,
Natri bromat,Sodium bromate,7789-38-0,NaBrO3,II,1,,,
Natri clo axetat,Sodium chloroacetate,3926-62-3,C2H3ClNaO2,II,1,,,
Natri clorit,Sodium chlorite,7758-19-2,NaClO2,II,1,,,
Natri flo silicat,Sodium fluorosilicate,16893-85-9,Na2SiF6,II,1,,,
Natri florua,Sodium fluoride,7681-49-4,NaF,II,1,,,
Natri hydrodiflorua,Sodium hydrogendifluoride,1333-83-1,NaHF2,II,1,,,
Natri hydrosunfua,Sodium hydrosulfide,16721-80-5,NaHS,II,1,,,
Natri hydroxit,Sodium hydroxide,1310-73-2,NaOH,II,1,,,
Natri hypoclorit,Sodium hypochlorite,7681-52-9,NaClO,II,1,,,
Natri metylat,Sodium methylate,124-41-4,CH3NaO,II,1,,,
Natri nhôm hydrua,Sodium aluminium hydride,13770-96-2,NaAlH4,II,1,,,
Natri oxit,Sodium oxide,1313-59-3,Na2O,II,1,,,
Natri pemanganat,Sodium permanganate,10101-50-5,NaMnO4,II,1,,,
Natri perborat,Sodium perborate,,NaBO3,II,1,,,
Natri perclorat,Sodium perchlorate,7601-89-0,NaClO4,II,1,,,
Natri persunphat,Sodium persulfate,7775-27-1,Na2S2O8,II,1,,,
Natri silicat,Sodium metasilicate,6834-92-0,Na2SiO3,II,1,,,
Natri sunfua,Sodium sulfide2,1313-82-2,Na2S,II,1,,,
Natri vanadat,Sodium vanadate,13718-26-8,NaVO3,II,1,,,
Natri đithionit,Sodium dithionite,7775-14-6,Na2S2O4,II,1,,,
Neon,Neon,,Ne,II,1,,,
Nhôm cacbua,Aluminium carbide,1299-86-1,Al4C3,II,1,,,
Nhôm clorua,Aluminium chloride,7446-70-0,AlCl3,II,1,,,
Nhôm nitrat,Aluminium nitrate,13473-90-0,Al(NO3)3,II,1,,,
Nhôm photphua,Aluminium phosphide (AlP),20859-73-8,AlP,II,1,,,
Nicotin salicylat,Nicotine salicylate,29790-52-1,C17H20N2O3,II,1,,,
Nicotin sunfat,Nicotine sulfate (1-1-Methyl-2-(3-pyridyl)-pynolidine sulfate),65-30-5,C20H30N4O4S,II,1,,,
Nitrobenzen,Nitrobenzene,98-95-3,C6H5NO2,II,1,,,
Nitrofen,"Nitrofen (2,4-Dichloro-1-(4-nitro phenoxy) benzene)",1836-75-5,C12H7Cl2NO3,II,1,,,
Nitrotriflorua,Nitrogen trifluoride,7783-54-2,NF3,II,1,,,
Nitơ,Nitrogen,7727-37-9,N2,II,1,,,
Nonan,Nonane,111-84-2,C9H20,II,1,,,
Nonylphenol,Nonylphenol,25154-52-3,C15H24O,II,1,,,
Nonylphenol ethoxylat,Ethoxylated nonylphenol,9016-45-9,C19H32O3,II,1,,,
"O,O-Dimetyl O-4-nitro-m-tolyl photphothioat","O,O-Dimethyl O-4-nitro-m-tolyl phosphorothioate",122-14-5,C9H12NO5PS,II,1,,,
o-Aminoazo toluen,O-Aminoazo toluene,97-56-3,C14H15N3,II,1,,,
o-Anisidin,o-Anisidine,90-04-0,C7H9NO,II,1,,,
O-diclo benzen,o-Dichlorobenzene,95-50-1,C6H4Cl2,II,1,,,
o-Flo toluen,o-Fluorotoluene,95-52-3,C7H7F,II,1,,,
O-tolidin,o-Tolidine,119-93-7,C14H16N2,II,1,,,
O-tolidin dihydro clo,o-Tolidine dihydrochloride,612-82-8,C14H18Cl2N2,II,1,,,
o-Xylen,o-Xylene,95-47-6,C8H10,II,1,,,
Ocryl aldehit (etyl hexadehyt),Ocryl aldehit (ethyl hexadehyd),124-13-0,C8H16O,II,1,,,
Octabrom diphenyl ete,Octabromodiphenyl ether,32536-52-0,C12H2Br8O,II,1,,,
Octaflo xyclobutan,Octafluorocyclobutane,115-25-3,C4F8,II,1,,,
Octan,Octane,111-65-9,C8H18,II,1,,,
Oxadiargyl,Oxadiargyl,39807-15-3,C15H14Cl2N2O3,II,1,,,
Oxy,Oxygen,7782-44-7,O2,II,1,,,
Oxy diflorua,Oxygen difluoride,7783-41-7,F2O,II,1,,,
p-Anisidin (4-Methoxy benzen anim),p-Anisidine (4-Methoxybenzenanime),104-94-9,C7H9NO,II,1,,,
p-Flo toluen,p-Fluorotoluene,352-32-9,C7H7F,II,1,,,
p-Nitro clo benzen,p-Nitrochlorobenzene,100-00-5,C6H4ClNO2,II,1,,,
P-Nitrosodimetyl anilin,P-Nitrosodimethyl aniline,138-89-6,C8H10N2O,II,1,,,
p-Xylen,p-Xylene,106-42-3,C8H10,II,1,,,
Paraldehyt,Paraldehyde,123-63-7,C6H12O3,II,1,,,
Penta kẽm cromat octahydroxit,Pentazinc chromate octahydroxide,49663-84-5,Zn5(OH)8CrO4,II,1,,,
Pentaboran,Pentaborane,19624-22-7,B5H9,II,1,,,
Pentaclo etan,Pentachloroethane,76-01-7,C2HCl5,II,1,,,
Pentaclo naphthalen,Pentachloronaphthalene,1321-64-8,C10H3Cl5,II,1,,,
Pentaclo nitro benzen,pentachloronitrobenzene,82-68-8,C6Cl5NO2,II,1,,,
Pentametyl heptan (Isododecan),Pentametylheptane (Isododecane),31807-55-3,C12H26,II,1,,,
"Pentan-2,4-dion (Axetylaxeton)","Pentane-2,4-dione (Acetylacetone)",123-54-6,C5H8O2,II,1,,,
Phenetidin,Phenetidine,156-43-4,C8H11NO,II,1,,,
Phenyl hydrazin,Phenyl hydrazine,100-63-0,C6H8N2,II,1,,,
Phenyl photpho diclo,Phenylphosphorus Dichloride,644-97-3,C6H5Cl2P,II,1,,,
Phenyl photpho thio diclo,Phenylphosphorus Thiodichloride,3497-00-5,C6H5Cl2PS,II,1,,,
Phenyl triclo silan,Phenyl trichloro silane,98-13-5,C6H5Cl3Si,II,1,,,
Phosalon,Phosalone,2310-17-0,C12H15ClNO4PS2,II,1,,,
"Photpho (trắng, vàng, đỏ)","Phosphorus (White, yellow, red)",12185-10-3,P,II,1,,,
Photpho pentasunfua,Phosphorus pentasulfide,1314-80-3,P2S5,II,1,,,
Photpho pentoxit,Phosphorus pentoxide,1314-56-3,P2O5,II,1,,,
Photpho sesquisunfua,Phosphorus sesquisulfide,1314-85-8,P4S3,II,1,,,
Phthalic anhydrit,Phthalic anhydride,85-44-9,C8H4O3,II,1,,,
Piperazin,Piperazine,110-85-0,C4H10N2,II,1,,,
Propan-1-ol,Propan-1-ol,71-23-8,C3H8O,II,1,,,
Propanil,Propanil,709-98-8,C9H9Cl2NO,II,1,,,
Propionaldehyt,Propionaldehyde,123-38-6,C3H6O,II,1,,,
Propionic anhydrit,Propionic anhydride,123-62-6,C6H10O3,II,1,,,
Propionyl clorua,Propionyl chloride,79-03-8,C3H5ClO,II,1,,,
Propisochlor,Propisochlor,86763-47-5,C15H22ClNO2,II,1,,,
Propyl axetat,Propyl acetate,109-60-4,C5H10O2,II,1,,,
Propyl format,Propyl formate,110-74-7,C4H8O2,II,1,,,
Propyl triclo silan,Propyltrichlorosilane,141-57-1,C3H7Cl3Si,II,1,,,
Propylen tetram (Tetrapropylen),Propylene tetramer (Tetrapropylen),6842-15-5,C12H24,II,1,,,
Pyrazophos,Pyrazophos,13457-18-6,C14H20N3O5PS,II,1,,,
Pyridin,Pyridine,110-86-1,C5H5N,II,1,,,
Pyrolidin,Pyrrolidine,123-75-1,C4H9N,II,1,,,
Quinolin,Quinoline,91-22-5,C9H7N,II,1,,,
Resorcinol,Resorcinol,108-46-3,C6H6O2,II,1,,,
Rotenon,Rotenone,83-79-4,C23H22O6,II,1,,,
"S, S -di-sec-Butyl-O-etyl-photpho dithioat","S, S -di-sec-Butyl-O-ethyl-phosphorodithioat",95465-99-9,C10H23O2PS2,II,1,,,
S-(4-Clobenzyl) dietyl cacbamothioat,S-(4-Chlorobenzyl) diethylcarbamothioate,28249-77-6,C12H16ClNOS,II,1,,,
"S-2-Etylthio etyl O, O-dimetyl photphodithioat","S-2-Ethylthioethyl O, O-dimethyl phosphorodithioate",640-15-3,C6H15O2S3P,II,1,,,
"S-[2-(Etyl sunfinyl) etyl] O,O-dimetyl photphothioat","S-[2-(Ethylsulfinyl) ethyl] O, O-dimethyl phosphorothioate",301-12-2,C6H15O4PS2,II,1,,,
sec-Butanol,sec-Butanol,78-92-2,C4H10O,II,1,,,
Selen (dạng bột),Selenium (powder),7782-49-2,Se,II,1,,,
Selen dioxit,Selenium dioxide,,SeO2,II,1,,,
Selen disunfua,Selenium disulfide,7488-56-4,SeS2,II,1,,,
Selen oxyclorit,Selenium oxychloride,7791-23-3,SeOCl2,II,1,,,
Silic,Silicon,7440-21-3,Si,II,1,,,
Silicon tetraclorua,Silicon tetrachloride,10026-04-7,SiCl4,II,1,,,
Silicon tetraflorua,Silicon tetrafluoride,7783-61-1,SiF4,II,1,,,
Silvex,Silvex,93-72-1,C9H7Cl3O3,II,1,,,
Simazin,Simazine,122-34-9,C7H12ClN5,II,1,,,
Stibin (antimony hydril),Stibine (antimony hydril),7803-52-3,SbH3,II,1,,,
Stronti nitrat,Strontium nitrate,10042-76-9,Sr(NO3)2,II,1,,,
Stronti peroxit,Strontium peroxide,1314-18-7,SrO2,II,1,,,
Strychnin sunphat,Strychnine sulfate,60-41-3,C21H22N2O2.0.5H2SO4,II,1,,,
Sunphuryl florua,Sulfuryl fluoride,2699-79-8,SO2F2,II,1,,,
Sắt (III) clorua,Iron(IIl) chloride,7705-08-0,FeCl3,II,1,,,
Tali nitrat,Thallium nitrate,10102-45-1,TlNO3,II,1,,,
Tali sunphat,Thallium sulfate,7446-18-6,Tl2(SO4),II,1,,,
Technazen,Technazene,117-18-0,C6HCl4NO2,II,1,,,
Terpen hydrocacbon,Terpene hydrocarbon,68956-56-9,C10H16,II,1,,,
Terpinolen,Terpinolene,586-62-9,C10H16,II,1,,,
Tert-butanol,tert-Butanol,75-65-0,C4H10O,II,1,,,
Tert-Butyl clorua,Tert-Butylchloride,507-20-0,C4H9Cl,II,1,,,
Tert-butyl isoxyanat,Tert-Butyl isocyanate,1609-86-5,C5H9NO,II,1,,,
Tetraetyl enpent amin,Tetraethyl enepent amine,112-57-2,C8H23N5,II,1,,,
Tetraetyl silicat,Tetraethyl silicate,78-10-4,C8H20O4Si,II,1,,,
Tetraflo metan,Tetrafluoromethane,75-73-0,CF4,II,1,,,
Tetrahydro thiophen (thiolan),Tetrahydro thiophene (thiolan),110-01-0,C4H8S,II,1,,,
Tetrahydrofuran,Tetrahydrofuran,109-99-9,C4H8O,II,1,,,
Tetrahydrophthalic anhydrit,Tetrahydrophthalic anhydride,85-43-8,C8H8O3,II,1,,,
Tetrametyl amonni hydroxit,Tetramethyiammonium hydroxide,75-59-2,C4H13NO,II,1,,,
Tetrapropyl orthotitanat,Tetrapropyl orthotitanate,3087-37-4,C12H28O4Ti,II,1,,,
Thioethylene glycol,Thioethylene glycol,60-24-2,C2H6OS,II,1,,,
Thiophen,Thiophene,110-02-1,C4H4S,II,1,,,
Thiourea,Thiourea,62-56-6,CH4N2S,II,1,,,
Thiourea dioxit,Thiourea dioxide,1758-73-2,CH4O2N2S,II,1,,,
Thori nitrat,Thorium nitrate,13823-29-5,Th(NO3)4,II,1,,,
Thorin natri,Thorine sodium,132-33-2,C16H11AsN2Na3O10S2,II,1,,,
Thymol,Thymol,89-83-8,C10H14O,II,1,,,
Titan,Titanium,7440-32-6,Ti,II,1,,,
Titan hydrua,Titanium hydride,7704-98-5,TiH2,II,1,,,
Tolylfluanid,Tolylfluanid,731-27-1,C10H13Cl2FN2O2S2,II,1,,,
"Trans-xyclohexan-1,2-dicacboxylic anhydrit","Trans-cyclohexane-1,2-dicarboxylic anhydride",14166-21-3,C8H10O3,II,1,,,
Tri-o-cresyl phosphat (TOCP),Tri-o-cresyl phosphate (TOCP),78-30-8,C21H21O4P,II,1,,,
Triallyl amin,Triallylamine,102-70-5,C9H15N,II,1,,,
Tributyl axetat thiếc,Tributyl tin acetate,56-36-0,C14H30O2Sn,II,1,,,
Tributyl laurat thiếc,Tributyl tin laurate,3090-36-6,C24H50O2Sn,II,1,,,
Triclobuten,Trichlorobutene,2431-50-7,C4H5Cl3,II,1,,,
Triclofon,Trichlorfon,52-68-6,C4H8Cl3O4P,II,1,,,
Tricyclazol,Tricyclazole,41814-78-2,C9H7N3S,II,1,,,
Triethyl amin,Triethylamine,121-44-8,C6H15N,II,1,,,
Trietyl borat,Triethyl borate,150-46-9,C6H15BO3,II,1,,,
Trietyl enetetramin,Triethylenetetramine,112-24-3,C6H18N4,II,1,,,
Trietyl thiếc sunphat,Triethyl tin sulfate,57-52-3,C12H30O4SSn2,II,1,,,
Triflo metan (Floform),Trifluoromethane (Fluoroform),75-46-7,CHF3,II,1,,,
Trifluralin,Trifluralin,1582-09-8,C13H16F3N3O4,II,1,,,
Triisobutylen,Triisobutylene,7756-94-7,C12H24,II,1,,,
Triisopropyl borat,Triisopropyl borate,5419-55-6,C9H21BO3,II,1,,,
Trimetyl axetyl chlorit,Trimethylacetyl chloride,3282-30-2,C5H9ClO,II,1,,,
Trimetyl borat,Trimethyl borate,121-43-7,C3H9BO3,II,1,,,
Triphenyltin acetate,Triphenyltin acetate,900-95-8,C20H18O2Sn,II,1,,,
Triphenyltin hydroxit,Triphenyltin hydroxide,76-87-9,C18H16OSn,II,1,,,
Tripropyl amin,Tripropylamine,102-69-2,C9H21N,II,1,,,
Tripropylen,Tripropylene,13987-01-4,C9H18,II,1,,,
Tro kẽm,Zinc ashe,7440-66-6,Zn,II,1,,,
Undecan,Undecane,1120-21-4,C11H24,II,1,,,
Urea hydro peroxit,Urea hydrogen peroxide,124-43-6,CH6N2O3,II,1,,,
Valeraldehit,Pentanaldehyde,110-62-3,C5H10O,II,1,,,
Valeryl clo,Valeryl chloride,638-29-9,C5H9ClO,II,1,,,
Vanadyl sunphat,Vanadyl sulfate,27774-13-6,VO(SO4),II,1,,,
Vinyl bromua,Vinyl bromide,593-60-2,C2H3Br,II,1,,,
Vinyl butyrat,Vinyl butyrate,123-20-6,C6H10O2,II,1,,,
Vinyl isobutyl ete,Vinyl isobutyl ether,109-53-5,C6H12O,II,1,,,
Vinyl toluen,Vinyltoluene,25013-15-4,C9H10,II,1,,,
Vinyl triclo silan,Vinyltrichlorosilane,75-94-5,C2H3Cl3Si,II,1,,,
Vonfram hexaflorua,Tungsten hexafluoride,7783-82-6,WF6,II,1,,,
Xeri,Cerium,7440-45-1,Ce,II,1,,,
Xianamit,Cyanamide,420-04-2,CH2N2,II,1,,,
Xyanuric clorua,Cyanuric chloride,108-77-0,C3N3Cl3,II,1,,,
Xyclobutan,Cyclobutane,287-23-0,C4H8,II,1,,,
Xycloheptan,Cycloheptane,291-64-5,C7H14,II,1,,,
Xycloheptatrien,Cycloheptatriene,544-25-2,C7H8,II,1,,,
Xyclohepten,Cycloheptene,628-92-2,C7H12,II,1,,,
Xyclohexan,Cyclohexane,110-82-7,C6H12,II,1,,,
Xyclohexanon,Cyclohexanone,108-94-1,C6H10O,II,1,,,
Xyclohexen,Cyclohexene,110-83-8,C6H10,II,1,,,
Xyclohexyl axetat,Cyclohexyl acetate,622-45-7,C8H14O2,II,1,,,
Xyclohexyl isocyanat,Cyclohexyl isocyanate,3173-53-3,C7H11NO,II,1,,,
Xyclohexyl mercaptan,Cyclohexyl mercaptan,1569-69-3,C6H12S,II,1,,,
Xyclopentan,Cyclopentane,287-92-3,C5H10,II,1,,,
Xyclopentanol,Cyclopentanol,96-41-3,C5H10O,II,1,,,
Xyclopentanon,Cyclopentanone,120-92-3,C5H8O,II,1,,,
Xyclopenten,Cyclopentene,142-29-0,C5H8,II,1,,,
Xyhexatin,Cyhexatin,13121-70-5,C18H34OSn,II,1,,,
Xylidin,Xylidine,1300-73-8,C8H11N,II,1,,,
Xymenel-metyl-4-(1-metyl etyl) benzen,Cymenel-methyl-4-(1-methy lethyl) benzene,99-87-6,C10H14,II,1,,,
Zirconi,Zirconium,7440-67-7,Zr,II,1,,,
Zirconi (IV) chlorit,Zirconium (IV) chloride,10026-11-6,ZrCl4,II,1,,,
Ziriconi nitrat,Zirconium nitrate,13746-89-9,Zr(NO3)4,II,1,,,
Đồng (I) clorua,Copper (I) chloride,7758-89-6,CuCl,II,1,,,
Đồng (II) clorua,Copper (II) chloride,7447-39-4,CuCl2,II,1,,,
α - Pinen,α - pinene,80-56-8,C10H16,II,1,,,
α-picolin (2-Metyl pyridin),α-picoline (2-Methylpyridine),52962-96-6,C6H7N,II,1,,,
β-picolin (3-Metyl pyridin),β-picoline (3-Methylpyridine),108-99-6,C6H7N,II,1,,,
1 - phenyl - 2 - propanone (P2P),Phenylacetone,103-79-7,C9H10O,III,1,A,,1
"1,1,1-Triclo-2,2-bis (4-clophenyl) etan (D.D.T)","1,1,1-Trichloro-2,2-bis(4-chlorophenyl) ethane",50-29-3,C14H9Cl5,III,2,C,,3C
"1,2-Bis (2-methoxy ethoxy) etan (TEGDME, triglym)","1,2-bis (2-methoxy ethoxy) ethane (TEGDME, triglyme)",112-49-2,C8H18O4,III,1,B,,Khác
"1,2-Dibrom etan","1,2-dibromo ethane (ethylene dibromide)",106-93-4,C2H4Br2,III,2,C,,3C
"1,2-Diclo etan (EDC)","1,2- dichloroethane (EDC)",107-06-2,C2H4Cl2,III,2,C,,3C
"1,2-Dimethoxy etan, etylen glycol dimethyl ete (EGDME)","1,2-dimethoxy ethane, ethylene glycol dimethyl ether (EGDME)",110-71-4,C4H10O2,III,1,B,,Khác
"1,4-Butanediol; BD; BDO","Butane-1,4-diol",110-63-4,C4H10O2,III,1,A,,1
1.3-Diclo axeton,"1,3-Dichloro acetone",534-07-6,C3H4Cl2O,III,1,B,,Khác
"2,2-Diphenyl-2-hydroxyacetic acid","2,2-Diphenyl-2-hydroxyacetic acid",76-93-7,C14H12O3,III,1,B,,2B
"2,2’-Dichloro-4,4′- metylen dianilin (MOCA)","2,2′-dichloro-4,4′- methylene dianiline (MOCA)",101-14-4,C13H12Cl2N2,III,1,B,,Khác
"2,2’-Diclo dietyl ete","2,2'-Dichloro diethyl ether",111-44-4,C4H8Cl2O,III,1,B,,Khác
"2,3-Epoxy-1-propanol","2,3-Epoxy-1-propanol (Glycidol)",556-52-5,C3H6O2,III,1,B,,Khác
"2,4-Diamino toluen","2,4-Diamino toluene",95-80-7,C7H10N2,III,1,B,,Khác
"2,4-Dinitrophenol và các muối","2,4-dinitrophenol, salts",51-28-5,C6H4N2O5,III,1,B,,Khác
2-Naphtyl amin,2-naphthyl amine,91-59-8,C10H9N,III,1,B,,Khác
2-Propen amit,2- Propen amit,79-06-1,C3H5NO,III,1,B,,Khác
"3,3’-Diclo benzidin","3,3’-Dichloro benzidine",91-94-1,C12H10Cl2N2,III,1,B,,Khác
"4,4’-Diamino diphenyl metan","4,4’-Methylene dianiline",101-77-9,C13H14N2,III,1,B,,Khác
4-Clo-o-toluidine,4-Chloro-o-toluidine,95-69-2,C7H8ClN,III,1,B,,Khác
4-Nitro biphenyl,4-Nitro biphenyl,92-93-3,C12H9NO2,III,1,B,,Khác
5-Clo-o-toluidine,5-Chloro-o-toluidine,95-79-4,C7H8ClN,III,1,B,,Khác
Acetic acid (GAA),Ethanoic acid,64-19-7,C2H4O2,III,2,A,,Nhóm 2 (IVC)
Acetic anhydride (AA),Acetic oxide,108-24-7,C4H6O3,III,1,A,,1
Acetone,2 - Propanone,67-64-1,C3H6O,III,2,A,,Nhóm 2 (IVC)
Acetyl chloride,Acetyl chloride,75-36-5,C2H3ClO,III,2,A,,Nhóm 2 (IVC)
Acrylyl clorit,Acrylyl chloride,814-68-6,C3H3CIO,III,1,B,,Khác
Alachlor,Alachlor,15972-60-8,C14H20ClNO2,III,2,C,,3C
Aldicarb,Aldicarb,116-06-3,C7H14N2O2S,III,2,C,,3C
Aldrin,Aldrin,309-00-2,C12H8C16,III,2,C,,3C
Alpha-phenyl acetoacetonitrile (APAAN),3-oxo-2-phenylbutanenitrile,4468-48-8,C10H9NO,III,1,A,,1
"Amiton: (O, O-Diethyl-S-(2-diethylaminoethyl) thiophosphate) và các muối alkyl hóa hoặc proton hóa tương ứng","Amiton: O, O-Diethyl S-[2-(diethylamino)ethyl] phosphorothiolate and corresponding alkylated or protonated salts",78-53-5,C10H24NO3PS,III,1,B,,2A
Ammonium formate,Formic acid ammonium salt,540-69-2,CH5NO2,III,2,A,,Nhóm 2 (IVC)
"Ankan, C10-13, chloro (Paraffin mạch ngắn được clo hóa)","Alkanes, C10-13, chloro (Short Chain Chlorinated Paraffins)",85535-84-8,,III,2,C,,3C
Anthranilic acid,2 - Aminobenzoic acid,118-92-3,C7H7NO2,III,1,A,,1
Arsenic trichloride,Arsenic trichloride,7784-34-1,AsCl3,III,1,B,,2B
Asen và các hợp chất của asen,Arsenic and arsenic compounds,,,III,1,B,,Khác
"Axit (2,4,5-triclo phenoxy) axetic","(2,4,5-Trichloro phenoxy) acetic acid (2,4,5-T and its salts and esters)",93-76-5,C8H5Cl3O3,III,2,C,,3C
Axit Formic,Methanoic acid,64-18-6,CH2O2,III,2,A,,Nhóm 2 (IVC)
Axit Hydrochloric,Hydrochloric acid,7647-01-0,HCl,III,2,A,,Nhóm 2 (IVC)
Axit methoxy axetic,Methoxy acetic acid,625-45-6,C3H6O3,III,1,B,,Khác
"Axit perflo hexan sulfonic (PFHxS), các muối của chúng và các hợp chất liên quan đến PFHxS","Perfluorohexane sulfonic acid (PFHxS), its salts and PFHxS - related compounds",355-46-4,,III,2,C,,3C
"Axit perflo-octanoic (PFOA), các muối của chúng và các hợp chất liên quan đến PFOA",Perfluorooctanoic acid (PFOA) and its salts and PFOA - related compounds,335-67-1,,III,2,C,,3C
Axit Sulfuric,Sulfuric acid,7664-93-9,H2SO4,III,2,A,,Nhóm 2 (IVC)
Azinphos-metyl,Azinphos-methyl,86-50-0,C10H12N3O3PS2,III,2,C,,3C
Benzal clorua,Benzal chloride,98-87-3,C7H6Cl2,III,1,B,,Khác
Benzen,Benzene,71-43-2,C6H6,III,1,B,,Khác
Benzidin,"Benzidine ((1,1’-Biphenyl)-4,4'-diamine)",92-87-5,C12H12N2,III,1,B,,Khác
Benzoic aldehyde,Benzaldehyde,100-52-7,C7H6O,III,1,A,,1
Benzyl butyl phthalat,Benzyl butyl phthalate,85-68-7,C19H20O4,III,1,B,,Khác
Benzyl clorua,Benzyl chloride,100-44-7,C7H7Cl,III,1,B,,Khác
Benzyl cyanide,2-Phenylacetonenitrile,140-29-4,C8H7N,III,1,A,,1
Beri nitrat,Beryllium nitrate,13597-99-4,Be(NO3)2,III,1,B,,Khác
Binapacryl,Binapacryl,485-31-4,C15H18N2O6,III,2,C,,3C
Biphenyl (PCB),Biphenyl (PCB),,,III,2,C,,3C
Biphenyls Brom hóa (PBBs),Polybrominated biphenyls (PBBs),13654-09-6,,III,2,C,,3C
Biphenyls Clo hóa (PCBs),Polychlorinated biphenyls (PCBs),1336-36-3,,III,2,C,,3C
Bis (2-etyl hexyl) phthalat (DEHP),Bis (2-ethyl hexyl) phthalate (DEHP),117-81-7,C24H38O4,III,1,B,,Khác
Bis (2-methoxy etyl) ete (diglyme),Bis (2-methoxy ethyl) ether (diglyme),111-96-6,C6H14O3,III,1,B,,Khác
Bis (2-methoxy etyl) phthalat,Bis (2-methoxyethyl) phthalate,117-82-8,C14H18O6,III,1,B,,Khác
Butyl toluen,Butyltoluene (p-tert-Butyl toluene),98-51-1,C11H16,III,1,B,,Khác
BZ: 3-Quinuclidinyl benzilate (*),BZ: 3-Quinuclidinyl benzilate (*),,C21H23NO3,III,1,B,,2A*
"Bột dustable chứa một sự kết hợp của benomyl tại hoặc cao hơn 7%, carbofuran tại hoặc cao hơn 10% và thiram tại hoặc cao hơn 15%","Dustable powder formulations containing a combination of benomyl at or above 7%, carbofuran at or above 10% and thiram at or above 15%",1563-66-2,,III,2,C,,3C
Cacbon disunfua,Carbon disulfide,75-15-0,CS2,III,1,B,,Khác
Cacbon monoxit,Carbon monoxide,630-08-0,CO,III,1,B,,Khác
Cadimi,Cadmium,7440-43-9,Cd,III,1,B,,Khác
Cadimi clorua,Cadmium chloride,10108-64-2,CdCl2,III,1,B,,Khác
Cadimi florua,Cadmiumfluoride,7790-79-6,CdF2,III,1,B,,Khác
Cadimi oxit,Cadmium oxide,1306-19-0,CdO,III,1,B,,Khác
Cadimi sulfua,Cadmium sulfide,1306-23-6,CdS,III,1,B,,Khác
Captafol,Captafol,,C10H9O2NCl4S,III,2,C,,3C
Cesium hydroxit,Cesium hydroxide,21351-79-1,CsOH,III,1,B,,Khác
Chlordan,Chlordane,57-74-9,C10H6Cl8,III,2,C,,3C
Chlordimeform,Chlordimeform,6164-98-3,C10H13ClN2,III,2,C,,3C
Chlorobenzilat,Chlorobenzilate,510-15-6,C16H14Cl2O3,III,2,C,,3C
Chloropicrin: Trichloronitromethane,Chloropicrin: Trichloronitromethane,76-06-2,CCl3NO2,III,2,B,,3A
Chì và các hợp chất của chì,Lead and lead compounds,,,III,1,B,,Khác
Clo diflo metan (R-22),Chloro difluoro methane (R-22),75-45-6,CHF2Cl,III,1,B,,Khác
Clo etanol,Chloro ethanol,107-07-3,C2H5ClO,III,1,B,,Khác
Clo phenol,2-Chloro phenol,95-57-8,C6H5ClO,III,1,B,,Khác
Cloral hydrat,Chloral hydrate,302-17-0,C2H3Cl3O2,III,1,B,,Khác
Clorua metyl,"Methyl chloride (Methane,chloro-)",74-87-3,CH3Cl,III,1,B,,Khác
Coban diclorua,Cobalt dichloride,7646-79-9,CoCl2,III,1,B,,Khác
Cyanogen chloride,Cyanogen chloride,506-77-4,CClN,III,2,B,,3A
Cyclopentyl bromide,Bromocyclopentane,137-43-9,C5H9Br,III,1,A,,1
Cyclopentyl cloride,Chlorocyclopentane,930-28-9,C5H9Cl,III,1,A,,1
Cyclopentyl magnesium bromide,Cyclopentyl magnesium bromide,33240-34-5,C5H9BrMg,III,1,A,,1
Các hợp chất của Cr6+,The compounds of chromium (VI),,,III,1,B,,Khác
"Các hợp chất Dialkyl (Me, Et, n-Pr hoặc i-Pr) N,N-dialkyl (Me, Et, n-Pr hoặc i-Pr)-phosphoramidate","Dialkyl (Me, Et, n-Pr or i-Pr) N,N-dialkyl (Me, Et, n-Pr or i-Pr)-phosphoramidates",,,III,1,B,,2B
