name_vi,name_en,cas,formula,appendix,group_no,table_ref,threshold_kg,loai
1-hydroxy-3-nitrobenzen,1-hydroxy-3-nitrobenzene,554-84-7,C6H5NO3,II,1,,,
1-Hydroxy-4-metyl benzen,1-Hydroxy-4-methylbenzene,106-44-5,C7H8O,II,1,,,
1-hydroxy-4-nitrobenzen,1-hydroxy-4-nitrobenzene,100-02-7,C6H5NO3,II,1,,,
1-Iotpropan,1-Iodopropane,107-08-4,C3H7I,II,1,,,
1-Methoxy-4-nitrobenzen,1-Methoxy-4-nitrobenzene,100-17-4,C7H7NO3,II,1,,,
1-Metoxy-2-propanol,1-Methoxy-2-propanol,107-98-2,C4H10O2,II,1,,,
1-Metyl piperidin,1-Methylpiperidine,626-67-5,C6H13N,II,1,,,
1-naphtyl metyl cacbamat,1-naphthyl methylcarbamate,63-25-2,C12H11NO2,II,1,,,
1-Nitronaphthalen,1-Nitronaphthalene,86-57-7,C10H7O2N,II,1,,,
1-nitropropan,1-nitropropane,108-03-2,C3H7NO2,II,1,,,
1-Pentanol,1-Pentanol,71-41-0,C5H12O,II,1,,,
1-Pentyl nitrat,1-Pentyl nitrate,1002-16-0,C5H11NO3,II,1,,,
1-Propanthiol,1-Propanethiol,107-03-9,C3H8S,II,1,,,
"1-Trixyclo hexylstannyl-1,2,4-triazol","1-Tricyclohexylstannyl-1,2,4-triazol",41083-11-8,C20H35N3Sn,II,1,,,
"2,2-diclovinyl dimetyl photphat","2,2-dichlorovinyl dimethyl phosphate",62-73-7,C4H7Cl2O4P,II,1,,,
"2,2-Dimetyl-2,3-dihydro-1-benzofuran-7-yl [(dibutylamino) sunfanyl] metyl cacbamat","2,2-Dimethyl-2,3-dihydro-1-benzofuran-7-yl [(dibutylamino) sulfanyl]methyl carbamate",55285-14-8,C20H32N2O3S,II,1,,,
"2,3,4,6-Tetraclo phenol","2,3,4,6-Tetrachlorophenol",58-90-2,C6H2Cl4O,II,1,,,
"2,3-Butan dion (Diacetyl)","2,3-Butanedione (Diacetyl)",431-03-8,C4H6O2,II,1,,,
"2,3-Diclo anilin","2,3-Dichloro aniline",608-27-5,C6H5Cl2N,II,1,,,
"2,3-Dihydropyran",Dihydropyran,110-87-2,C5H8O,II,1,,,
"2,3-Dimetyl butan","2,3-Dimethylbutane",79-29-8,C6H14,II,1,,,
"2,3-Dinitro toluen","2,3-Dinitro toluene",602-01-7,C7H6N2O4,II,1,,,
"2,3-Xylenol","2,3-Xylenol",526-75-0,C8H10O,II,1,,,
"2,4,6-Triclophenol","2,4,6-Trichlorophenol",88-06-2,C6H3Cl3O,II,1,,,
"2,4-Diclo anilin","2,4-Dichloroaniline",554-00-7,C6H5Cl2N,II,1,,,
"2,4-Diclo phenol","2,4-Dichloro phenol",120-83-2,C6H4Cl2O,II,1,,,
"2,4-Diclophenyl isoxyanat","2,4-Dichloro phenyl isocyanate",2612-57-9,C7H3Cl2NO,II,1,,,
"2,4-Dinitro aniIin","2,4-Dinitro aniline",97-02-9,C6H5N3O4,II,1,,,
"2,4-Dinitro clobenzen","2,4-Dinitrochloro benzene",97-00-7,C6H3ClN2O4,II,1,,,
"2,4-Hexadien","2,4-Hexadiene",592-46-1,C6H10,II,1,,,
"2,4-Xylenol","2,4-Xylenol",105-67-9,C8H10O,II,1,,,
"2,4-Xylidin","2,4-Xylidine",95-68-1,C8H11N,II,1,,,
"2,5-Diclo anilin","2,5-Dichloroaniline",95-82-9,C6H5Cl2N,II,1,,,
"2,5-Norbornadien (Dicyclo heptadien)","2,5-Norbornadiene",121-46-0,C7H8,II,1,,,
"2,5-Xylenol","2,5-Xylenol",95-87-4,C8H10O,II,1,,,
"2,6-Diclo anilin","2,6-Dichloro aniline",608-31-1,C6H5Cl2N,II,1,,,
"2,6-Diclo benzonitril","2,6-Dichloro benzonitrile",1194-65-6,C7H3Cl2N,II,1,,,
"2,6-Dinitro toluen","2,6-Dinitro toluene",606-20-2,C7H6N2O4,II,1,,,
"2,6-Xylenol","2,6-Xylenol",576-26-1,C8H10O,II,1,,,
"2,6-Xylidin","2,6-Xylidine",87-62-7,C8H11N,II,1,,,
2- Brom propan,2-Bromopropane,75-26-3,C3H7Br,II,1,,,
2- Nitronaphthalen,2-Nitronaphthalene,581-89-5,C10H7NO2,II,1,,,
2-(4-tert-butyl phenoxy) xyclohexyl prop-2-yne-1-sunfonat,2-(4-tert-butylphenoxy)cyclohexyl prop-2-yne-1-sulfonate,2312-35-8,C19H26O4S,II,1,,,
2-Amino pyridin,2-Amino pyridine,504-29-0,C5H6N2,II,1,,,
2-Amino-4-clo phenol,2-Amino-4-chlorophenol,95-85-2,C6H6ClNO,II,1,,,
2-Brom butan,2-Bromo butane,78-76-2,C4H9Br,II,1,,,
"2-Brom-2-nitro-1,3-propandiol","2-Bromo-2-nitro-1,3-propanediol",52-51-7,C3H6BrNO4,II,1,,,
2-Brom-pentan,2-Bromopentane,107-81-3,C5H11Br,II,1,,,
2-Bromo-2-metyl propan,2-Bromo-2-methylpropane,507-19-7,C4H9Br,II,1,,,
2-Clo anilin,2-Chloroaniline,95-51-2,C6H6ClN,II,1,,,
2-Clo-3-metyl phenol,2-Chloro-3-methyl phenol,608-26-4,C7H7ClO,II,1,,,
2-Clo-4-nitroanilin,2-Chloro-4-nitroaniline,121-87-9,C6H5ClN2O2,II,1,,,
2-Clo-N-(ethoxy metyl)-N-(2-etyl-6-metyl phenyl) axetamit,2-Chloro-N-(ethoxymethyl)-N-(2-ethyl-6-methylphenyl) acetamide,34256-82-1,C14H20ClNO2,II,1,,,
2-Clo-N-isopropyl-N-phenyl axetamit,2-Chloro-N-isopropyl-N-phenyl acetamide,1918-16-7,C11H14ClNO,II,1,,,
2-Dimetyl-amino-ety-1-metacrylat,2-Dimethylaminoethyl methacrylate,2867-47-2,C8H15NO2,II,1,,,
2-Dimetyla mino etyl acrylat,2-Dimethyl amino ethyl acrylate,2439-35-2,C7H13NO2,II,1,,,
2-Ethoxy etanol,2-Ethoxy ethanol,110-80-5,C4H10O2,II,1,,,
2-Ethoxy etyl axetat,2-Ethoxyethyl acetate,111-15-9,C6H12O3,II,1,,,
2-Etyl butanol,2-Ethyl butanol,137-32-6,C5H12O,II,1,,,
2-Etyl butyl andehit,2-Ethylbutyraldehyde,97-96-1,C6H12O,II,1,,,
2-Etyl butyl axetat,2-Ethylbutyl acetate,10031-87-5,C8H16O2,II,1,,,
2-Etyl hexyl clo format,2-Ethyl hexyl chloro formate,24468-13-1,C9H17ClO2,II,1,,,
2-Etylhexylamin,2-Ethylhexylamine,104-75-6,C8H19N,II,1,,,
2-Heptanon,2-Heptanone,110-43-0,C7H14O,II,1,,,
2-Hexanon,2-Hexanone,591-78-6,C6H12O,II,1,,,
2-Iotpropan,2-Iodopropane,75-30-9,C3H7I,II,1,,,
2-Methoxy etanol,2-Methoxyethanol,109-86-4,C3H8O2,II,1,,,
2-Methoxy etyl axetat,2-Methoxy ethyl acetate,110-49-6,C5H10O3,II,1,,,
2-Metyl furan,2-Methyl furan,534-22-5,C5H6O,II,1,,,
2-Metyl pentan-2-ol,2-Methyl-2-pentanol,590-36-3,C6H14O,II,1,,,
2-Metyl tetrahydrofuran,2-Methyltetrahydrofuran,96-47-9,C5H10O,II,1,,,
2-metyl xyclo hexanon,2-methyl cyclo hexanone,583-60-8,C7H12O,II,1,,,
2-Metyl-5-etylpyridin,2-Methyl-5-ethyl pyridine,104-90-5,C8H11N,II,1,,,
2-Nitroanilin,2-Nitroaniline,88-74-4,C6H6N2O2,II,1,,,
2-Nitropropan,2-Nitropropane,79-46-9,C3H7NO2,II,1,,,
2-Pentanol,2-Pentanol,6032-29-7,C5H12O,II,1,,,
2-Pentanon,2-Pentanone,107-87-9,C5H10O,II,1,,,
"2-Tert-butyl-4,6-dinitrophenol","2-tert-Butyl-4,6-dinitrophenol",1420-07-1,C10H12N2O5,II,1,,,
2-Tetrahydro furfuryl amin,2-Tetrahydrofurfuryl amine,4795-29-3,C5H11NO,II,1,,,
2-Xyanopropan-2-ol,2-cyanopropan-2-ol (acetone cyanohydrin),75-86-5,C4H7NO,II,1,,,
"3,3,5-Trimetyl xyclohexyl amin","3,3,5-Trimethyl cyclohexylamine",15901-42-5,C9H19N,II,1,,,
"3,3-Dietoxy propen","3,3-Diethoxy propene",3054-95-3,C7H14O2,II,1,,,
"3,4-Diclo anilin","3,4-Dichloro aniIine",95-76-1,C6H5Cl2N,II,1,,,
"3,4-Diclophenyl isoxyanat","3,4-Dichloro phenyl isocyanate",102-36-3,C7H3Cl2NO,II,1,,,
"3,4-Dinitro toluen","3,4-Dinitro toluene",610-39-9,C7H6N2O4,II,1,,,
"3,4-Xylenol","3,4-Xylenol",95-65-8,C8H10O,II,1,,,
"3,5-Diclo anilin","3,5-Dichloro aniline",626-43-7,C6H5Cl2N,II,1,,,
"3,5-Diclo phenyl isoxyanat","3,5-Dichloro phenyl isocyanate",34893-92-0,C7H3Cl2NO,II,1,,,
"3,5-Xylenol","3,5-Xylenol",108-68-9,C8H10O,II,1,,,
"3-(3,5-diclo phenyl)-1,5-dimetyl-3-azabicyclo[3.1.0] hexan-2,4-dion","3-(3,5-dichloro phenyl)-1,5-dimethyl-3-azabicyclo[3.1.0] hexane-2,4-dione",32809-16-8,C13H11Cl2NO2,II,1,,,
3-(Methylmercapto) propionaldehyde,3-(Methylmercapto) propionaldehyde,3268-49-3,C4H8OS,II,1,,,
3-(Trifluoromethyl) phenyl isocyanat,3-(Trifluoromethyl) phenyl isocyanate,329-01-1,C8H4F3NO,II,1,,,
3-Amino pyridin,3-Amino pyridine,462-08-8,C5H6N2,II,1,,,
3-Brom propyn,3-Bromopropyne (Propargyl bromide),106-96-7,C3H3Br,II,1,,,
3-Clo anilin,3-Chloroaniline,108-42-9,C6H6ClN,II,1,,,
3-Clo phenol,3-Chlorophenol,108-43-0,C6H5ClO,II,1,,,
3-Clo propanol-1,3-Chloropropan-1-ol,19210-21-0,C3H7ClO,II,1,,,
3-Hydroxy-2-butanon,3-Hydroxy-2-butanone,513-86-0,C4H8O2,II,1,,,
3-Methoxy anilin,3-Methoxyaniline,536-90-3,C7H9NO,II,1,,,
3-Metyl xyclohexanon,3-methyl cyclohexanone,591-24-2,C7H12O,II,1,,,
3-Nitroanilin,3-Nitroaniline,99-09-2,C6H6N2O2,II,1,,,
3-Nitrobenzen sunphonic axit,3-Nitrobenzene sulfonic acid,98-47-5,C6H5NO5S,II,1,,,
3-Pentanon,3-Pentanone,96-22-0,C5H10O,II,1,,,
4-Amino pyridin,4-Amino pyridine,504-24-5,C5H6N2,II,1,,,
4-Biphenyl amin,4-Aminobiphenyl,92-67-1,C12H11N,II,1,,,
4-Brom-2-(4-clophenyl)-1-ethoxy metyl-5-triflo metyl-1H-pyrrole-3-cacbonitril,4-Bromo-2-(4-chloro phenyl)-1-ethoxy methyl-5-trifluoro methyl-1H-pyrrole-3-carbonitrile,122453-73-0,C15H11BrClF3N2O,II,1,,,
4-Clo anilin,4-Chloroaniline,106-47-8,C6H6ClN,II,1,,,
4-Clo phenol,4-Chlorophenol,106-48-9,C6H5ClO,II,1,,,
4-Clo-3-metyl phenol,4-Chloro-3-methyl phenol,59-50-7,C7H7ClO,II,1,,,
4-Metyl morpholin,4-Methylmorpholine,109-02-4,C5H11NO,II,1,,,
4-Metyl xyclohexanon,4-methyl cyclohexanone,589-92-4,C7H12O,II,1,,,
4-Metyl-4-mercaptopentan-2-one,4-Methyl-4-mercaptopentan-2-one,19872-52-7,C6H12OS,II,1,,,
4-nitro benzen sunphonic axit,4-Nitrobenzene sulfonic acid,138-42-1,C6H5NO5S,II,1,,,
4-Nitroanilin,4-Nitroaniline,100-01-6,C6H6N2O2,II,1,,,
"5-Tert-Butyl-2,4,6-trinitro-m-xylen","5-tert-Butyl-2,4,6-trinitro-m-xylene",81-15-2,C12H15N3O6,II,1,,,
"6-Ethoxy-2,2,4-trimetyl-1,2-dihydro quinolin","6-Ethoxy-2,2,4-trimethyl-1,2-dihydroquinoline",91-53-2,C14H19NO,II,1,,,
Acrolein,Acrolein (2-Propenal),107-02-8,C3H4O,II,1,,,
Acrylonitrile,Acrylonitrile,107-13-1,C3H3N,II,1,,,
Adiponitril,Adiponitrile,111-69-3,C6H8N2,II,1,,,
Allyl amin,Allyl amine (2-Propen-1-amine),107-11-9,C3H7N,II,1,,,
Allyl axetat,Allyl acetate,591-87-7,C5H8O2,II,1,,,
Allyl bromua,Allyl bromide,106-95-6,C3H5Br,II,1,,,
Allyl chlorit,Allyl chloride,107-05-1,C3H5Cl,II,1,,,
Allyl clo fomat,Allyl chloro formate,2937-50-0,C4H5ClO2,II,1,,,
Allyl etyl ete,Allyl ethyl ether,557-31-3,C5H10O,II,1,,,
Allyl glycidyl ete,Allyl glycidyl ether,106-92-3,C6H10O2,II,1,,,
Allyl isotioxyanat,Allyl isothio cyanate,57-06-7,C4H5NS,II,1,,,
Allyl triclo silan,Allyl trichloro silane,107-37-9,C3H5Cl3Si,II,1,,,
Alpha-hexaclo xyclohexan,Alpha-hexachloro cyclohexane,319-84-6,C6H6Cl6,II,1,,,
Alpha-metyl benzyl alcohol,Alpha-Methyl benzyl alcohol,13323-81-4,C8H10O,II,1,,,
Alpha-Metyl valeraldehit,Alpha-methyl valeraldehyde,123-15-9,C6H12O,II,1,,,
Alpha-naphtyl thiourea,Alpha-naphthyl thiourea,86-88-4,C11H10N2S,II,1,,,
Aminocarb,Aminocarb,2032-59-9,C11H16 N2O2,II,1,,,
Amiăng trắng,Asbestos chrysotile,12001-29-5,Mg3(Si2O5)(OH)4,II,1,,,
Amon hydrodiflorua,Ammonium hydrogen difluoride,1341-49-7,NH4HF2,II,1,,,
Amon sunfua,Ammonium sulfide,12135-76-1,(NH4)2S,II,1,,,
Amoni perclorat,Ammonium perchlorate,7790-98-9,NH4ClO4,II,1,,,
Amoni persunphat,Ammonium persulfate,7727-54-0,H8N2O8S2,II,1,,,
Amoniac (khan),Ammonia (anhydrous),7664-41-7,NH3,II,1,,,
Amyl axetat,Amyl acetate,628-63-7,C7H14O2,II,1,,,
Amyl butyrat,Amyl butyrate,106-27-4,C9H18O2,II,1,,,
Amyl format,Amyl formate,638-49-3,C7H5Cl3,II,1,,,
Amyl mercaptan,Amyl mercaptan,110-66-7,C5H12S,II,1,,,
Amyl triclo silan,Amyl trichloro silane,107-72-2,C5H11Cl3Si,II,1,,,
Anilin,Aniline,62-53-3,C6H7N,II,1,,,
Anilin hydroclorit,Aniline hydrocloride,142-04-1,C6H8ClN,II,1,,,
Anisol (methoxy benzen),Anisole (methoxybenzene),100-66-3,C7H8O,II,1,,,
"Anthracen-9,10-dion","Anthracene-9,10-dione",84-65-1,C14H8O2,II,1,,,
Antimonony clorua,Antimony trichloride,10025-91-9,SbCl3,II,1,,,
Argon,Argon,7440-37-1,Ar,II,1,,,
Atrazin,Atrazine,1912-24-9,C8H14ClN5,II,1,,,
Axetandehit,Acetaldehyde,75-07-0,C2H4O,II,1,,,
Axetandehit oxim,Acetaldehyde oxime,107-29-9,C2H5NO,II,1,,,
Axetonitril,Acetonitrile,75-05-8,C2H3N,II,1,,,
Axetylen,Acetylene,74-86-2,C2H2,II,1,,,
Axit 2-axetyloxy benzoic,2-Acetyloxy benzoic acid,50-78-2,C9H8O4,II,1,,,
Axit 2-clo propionic,2-Chloropropionic acid,598-78-7,C3H5ClO2,II,1,,,
Axit acrylic,Acrylic acid,79-10-7,C3H4O2,II,1,,,
Axit bo triflo axetic,Boron trifluoride acetic acid,7578-36-1,C2H4BF3O2,II,1,,,
Axit brom axetic,Bromoacetic acid,79-08-3,C2H3BrO2,II,1,,,
Axit butyric,Butyric acid,107-92-6,C4H8O2,II,1,,,
Axit clo axetic,Chloroacetic acid,79-11-8,C2H3ClO2,II,1,,,
Axit cloric,Chloric acid,7790-93-4,HClO3,II,1,,,
Axit cresylic,Cresylic acid,1319-77-3,C7H8O,II,1,,,
Axit crotonic,Crotonic acid,107-93-7,C4H6O2,II,1,,,
Axit diclo axetic,Dichloroacetic acid,79-43-6,C2H2Cl2O2,II,1,,,
Axit diclo isoxyanuric,Dichloro isocyanuric acid,2782-57-2,C3HCl2N3O3,II,1,,,
Axit diflo photphoric,Difluoro phosphoric acid,13779-41-4,HPO2F2,II,1,,,
Axit flo silicic,Hexafluoro silicic acid,16961-83-4,H2SiF6,II,1,,,
Axit flo sunphonic,Fluorosulfonic acid,7789-21-1,HSO3F,II,1,,,
Axit floroboric,Fluoroboric acid,16872-11-0,HBF4,II,1,,,
Axit hexaflo photphoric,Hexafluoro phosphoric acid,16940-81-1,HPF6,II,1,,,
Axit indolacetic,Indolacetic Aacid,87-51-4,C10H8NO2,II,1,,,
Axit isobutyric,Isobutyric acid,79-31-2,C4H8O2,II,1,,,
Axit metacrylic,Methacrylic acid,79-41-4,C4H6O2,II,1,,,
Axit nitric,Nitric acid,7697-37-2,HNO3,II,1,,,
Axit nitrobenzen sunphonic,Sodium 3-nitrobenzene sulphonate,127-68-4,C6H4NNaO5S,II,1,,,
Axit nitrosyl sunphuric,Nitrosyl sulfuric acid,7782-78-7,NOHSO4,II,1,,,
Axit percloric,Perchloric acid,7601-90-3,HClO4,II,1,,,
Axit phenol sunphonic,Phenolsulfonic acid,1333-39-7,C6H6O4S,II,1,,,
Axit photphoric,Phosphoric acid,7664-38-2,H3PO4,II,1,,,
Axit propionic,Propanoic acid,79-09-4,C3H6O2,II,1,,,
Axit selenic,Selenic acid,,H2SeO4,II,1,,,
Axit selenơ,Selenious acid,7783-00-8,H2SeO3,II,1,,,
